model,input_tokens,output_tokens,total_tokens
gemini-2.0-flash,494,7,501
gemini-2.0-flash,482,6,488
gemini-2.0-flash,825,25,850
gemini-2.0-flash,494,7,501
gemini-2.0-flash,558,38,596
gemini-2.0-flash,483,6,489
gemini-2.0-flash,242,6,248
gemini-2.0-flash,828,29,857
gemini-2.0-flash,562,7,569
gemini-2.0-flash,246,6,252
gemini-2.0-flash,681,107,788
gemini-2.0-flash,390,72,462
gemini-2.0-flash,708,10,718
gemini-2.0-flash,669,10,679
gemini-2.0-flash,365,274,639
gemini-2.0-flash,326,278,604
gemini-2.0-flash,1028,8,1036
gemini-2.0-flash,673,165,838
gemini-2.0-flash,494,7,501
gemini-2.0-flash,483,6,489
gemini-2.0-flash,828,7,835
gemini-2.0-flash,540,7,547
gemini-2.0-flash,224,6,230
gemini-2.0-flash,660,72,732
gemini-2.0-flash,651,10,661
gemini-2.0-flash,308,267,575
gemini-2.0-flash,964,8,972
gemini-2.0-flash,609,121,730
gemini-2.0-flash,1127,128,1255
